LABEL                          LABEL                          USER           PID  PPID     VSZ    RSS WCHAN          ADDR S NAME                       
u:r:kernel:s0                  u:r:kernel:s0                  root           229     2       0      0 rescuer_thread    0 I [kdmflush/254:12]
u:r:kernel:s0                  u:r:kernel:s0                  root           230     2       0      0 rescuer_thread    0 I [kverityd]
u:r:kernel:s0                  u:r:kernel:s0                  root           231     2       0      0 rescuer_thread    0 I [kdmflush/254:13]
u:r:kernel:s0                  u:r:kernel:s0                  root           232     2       0      0 rescuer_thread    0 I [kverityd]
u:r:kernel:s0                  u:r:kernel:s0                  root           233     2       0      0 rescuer_thread    0 I [kdmflush/254:14]
u:r:kernel:s0                  u:r:kernel:s0                  root           234     2       0      0 rescuer_thread    0 I [kverityd]
u:r:kernel:s0                  u:r:kernel:s0                  root           235     2       0      0 rescuer_thread    0 I [ext4-rsv-conver]
u:r:kernel:s0                  u:r:kernel:s0                  root           236     2       0      0 rescuer_thread    0 I [kdmflush/254:15]
u:r:kernel:s0                  u:r:kernel:s0                  root           237     2       0      0 rescuer_thread    0 I [kverityd]
u:r:kernel:s0                  u:r:kernel:s0                  root           238     2       0      0 rescuer_thread    0 I [ext4-rsv-conver]
u:r:vendor_init:s0             u:r:vendor_init:s0             root           243     1 12372160  4328 do_sys_poll       0 S init
u:r:ueventd:s0                 u:r:ueventd:s0                 root           244     1 12474104  5328 do_sys_poll       0 S ueventd
u:r:kernel:s0                  u:r:kernel:s0                  root           304     2       0      0 rescuer_thread    0 I [kdmflush/254:17]
u:r:kernel:s0                  u:r:kernel:s0                  root           315     2       0      0 rescuer_thread    0 I [kdmflush/254:28]
u:r:kernel:s0                  u:r:kernel:s0                  root           316     2       0      0 rescuer_thread    0 I [kdmflush/254:29]
u:r:kernel:s0                  u:r:kernel:s0                  root           317     2       0      0 rescuer_thread    0 I [kdmflush/254:30]
u:r:kernel:s0                  u:r:kernel:s0                  root           318     2       0      0 rescuer_thread    0 I [kdmflush/254:31]
u:r:kernel:s0                  u:r:kernel:s0                  root           321     2       0      0 rescuer_thread    0 I [kdmflush/254:34]
u:r:kernel:s0                  u:r:kernel:s0                  root           322     2       0      0 rescuer_thread    0 I [kdmflush/254:35]
u:r:kernel:s0                  u:r:kernel:s0                  root           323     2       0      0 rescuer_thread    0 I [kdmflush/254:36]
u:r:kernel:s0                  u:r:kernel:s0                  root           324     2       0      0 rescuer_thread    0 I [kdmflush/254:37]
u:r:kernel:s0                  u:r:kernel:s0                  root           325     2       0      0 rescuer_thread    0 I [kdmflush/254:38]
u:r:kernel:s0                  u:r:kernel:s0                  root           327     2       0      0 rescuer_thread    0 I [kdmflush/254:40]
u:r:kernel:s0                  u:r:kernel:s0                  root           328     2       0      0 rescuer_thread    0 I [kdmflush/254:41]
u:r:kernel:s0                  u:r:kernel:s0                  root           329     2       0      0 rescuer_thread    0 I [kdmflush/254:42]
u:r:kernel:s0                  u:r:kernel:s0                  root           330     2       0      0 rescuer_thread    0 I [kdmflush/254:43]
u:r:kernel:s0                  u:r:kernel:s0                  root           331     2       0      0 rescuer_thread    0 I [kdmflush/254:44]
u:r:kernel:s0                  u:r:kernel:s0                  root           333     2       0      0 rescuer_thread    0 I [kdmflush/254:46]
u:r:kernel:s0                  u:r:kernel:s0                  root           334     2       0      0 rescuer_thread    0 I [kdmflush/254:47]
u:r:kernel:s0                  u:r:kernel:s0                  root           335     2       0      0 rescuer_thread    0 I [kdmflush/254:48]
u:r:kernel:s0                  u:r:kernel:s0                  root           337     2       0      0 rescuer_thread    0 I [kdmflush/254:50]
u:r:kernel:s0                  u:r:kernel:s0                  root           338     2       0      0 rescuer_thread    0 I [kdmflush/254:51]
u:r:kernel:s0                  u:r:kernel:s0                  root           339     2       0      0 rescuer_thread    0 I [kdmflush/254:52]
u:r:kernel:s0                  u:r:kernel:s0                  root           340     2       0      0 rescuer_thread    0 I [kdmflush/254:53]
u:r:kernel:s0                  u:r:kernel:s0                  root           341     2       0      0 rescuer_thread    0 I [kdmflush/254:54]
u:r:kernel:s0                  u:r:kernel:s0                  root           342     2       0      0 rescuer_thread    0 I [kdmflush/254:55]
u:r:kernel:s0                  u:r:kernel:s0                  root           344     2       0      0 rescuer_thread    0 I [kdmflush/254:57]
u:r:kernel:s0                  u:r:kernel:s0                  root           346     2       0      0 rescuer_thread    0 I [kdmflush/254:59]
u:r:kernel:s0                  u:r:kernel:s0                  root           347     2       0      0 rescuer_thread    0 I [kdmflush/254:60]
u:r:kernel:s0                  u:r:kernel:s0                  root           350     2       0      0 rescuer_thread    0 I [kdmflush/254:63]
u:r:kernel:s0                  u:r:kernel:s0                  root           357     2       0      0 rescuer_thread    0 I [ext4-rsv-conver]
u:r:kernel:s0                  u:r:kernel:s0                  root           358     2       0      0 rescuer_thread    0 I [ext4-rsv-conver]
u:r:kernel:s0                  u:r:kernel:s0                  root           359     2       0      0 rescuer_thread    0 I [ext4-rsv-conver]
u:r:kernel:s0                  u:r:kernel:s0                  root           360     2       0      0 rescuer_thread    0 I [ext4-rsv-conver]
u:r:kernel:s0                  u:r:kernel:s0                  root           361     2       0      0 rescuer_thread    0 I [ext4-rsv-conver]
u:r:kernel:s0                  u:r:kernel:s0                  root           435     2       0      0 wait_woken        0 S [krfcommd]
u:r:kernel:s0                  u:r:kernel:s0                  root           484     2       0      0 rescuer_thread    0 I [blk_sec_common]
u:r:kernel:s0                  u:r:kernel:s0                  root           539     2       0      0 irq_thread        0 S [irq/84-arm-smmu-context-fault]
u:r:kernel:s0                  u:r:kernel:s0                  root           546     2       0      0 rescuer_thread    0 I [mpcie_wq]
u:r:kernel:s0                  u:r:kernel:s0                  root           548     2       0      0 rescuer_thread    0 I [pcie_l1ss_ctrl_]
u:r:kernel:s0                  u:r:kernel:s0                  root           550     2       0      0 irq_thread        0 S [irq/85-arm-smmu-context-fault]
u:r:kernel:s0                  u:r:kernel:s0                  root           601     2       0      0 rescuer_thread    0 I [pcie_error_wq0]
u:r:kernel:s0                  u:r:kernel:s0                  root           616     2       0      0 irq_thread        0 S [irq/207-int_global_int]
u:r:kernel:s0                  u:r:kernel:s0                  root           735     2       0      0 events_notify_userspace 0 S [msm_perf:events_notify]
u:r:kernel:s0                  u:r:kernel:s0                  root           767     2       0      0 irq_thread        0 S [irq/209-qcom,smp2p-adsp]
u:r:kernel:s0                  u:r:kernel:s0                  root           806     2       0      0 irq_thread        0 S [irq/211-qcom,smp2p-cdsp]
u:r:kernel:s0                  u:r:kernel:s0                  root           810     2       0      0 rescuer_thread    0 I [memlat_wq]
u:r:kernel:s0                  u:r:kernel:s0                  root           829     2       0      0 irq_thread        0 S [irq/213-qcom,smp2p-modem]
u:r:kernel:s0                  u:r:kernel:s0                  root           830     2       0      0 process_cdsp_request_thread 0 S [cdsprm-wq]
u:r:kernel:s0                  u:r:kernel:s0                  root           831     2       0      0 khvcd             0 S [khvcd]
u:r:kernel:s0                  u:r:kernel:s0                  root           832     2       0      0 smcinvoke_postprocess_kthread_func 0 S [smcinvoke_shmbridge_postprocess]
u:r:kernel:s0                  u:r:kernel:s0                  root           833     2       0      0 rescuer_thread    0 I [cdsprm-wq-delay]
u:r:kernel:s0                  u:r:kernel:s0                  root           834     2       0      0 smcinvoke_postprocess_kthread_func 0 S [smcinvoke_object_postprocess]
u:r:kernel:s0                  u:r:kernel:s0                  root           835     2       0      0 __scm_smc_call    0 D [smcinvoke_adci_thread]
u:r:kernel:s0                  u:r:kernel:s0                  root           836     2       0      0 kthread_worker_fn 0 S [spi0]
u:r:kernel:s0                  u:r:kernel:s0                  root           837     2       0      0 kthread_worker_fn 0 S [spi1]
u:r:kernel:s0                  u:r:kernel:s0                  root           838     2       0      0 irq_thread        0 S [irq/219-SUB_CONNECT]
u:r:kernel:s0                  u:r:kernel:s0                  root           839     2       0      0 irq_thread        0 S [irq/222-generic-irq]
u:r:kernel:s0                  u:r:kernel:s0                  root           840     2       0      0 rescuer_thread    0 I [cpucp_wq]
u:r:kernel:s0                  u:r:kernel:s0                  root           841     2       0      0 rescuer_thread    0 I [bwmon_wq]
u:r:kernel:s0                  u:r:kernel:s0                  root           842     2       0      0 irq_thread        0 S [irq/224-240b7400.qcom,bwmon-llcc]
u:r:kernel:s0                  u:r:kernel:s0                  root           843     2       0      0 irq_thread        0 S [irq/225-24091000.qcom,bwmon-ddr]
u:r:kernel:s0                  u:r:kernel:s0                  root           844     2       0      0 kthread_worker_fn 0 S [spi2]
u:r:kernel:s0                  u:r:kernel:s0                  root           845     2       0      0 irq_thread        0 S [irq/220-pmr735d-temp-alarm]
u:r:kernel:s0                  u:r:kernel:s0                  root           846     2       0      0 irq_thread        0 S [irq/215-flash_all_ramp_up]
u:r:kernel:s0                  u:r:kernel:s0                  root           848     2       0      0 irq_thread        0 S [irq/216-flash_all_ramp_down]
u:r:kernel:s0                  u:r:kernel:s0                  root           849     2       0      0 irq_thread        0 S [irq/217-flash_fault]
u:r:kernel:s0                  u:r:kernel:s0                  root           850     2       0      0 kthread_worker_fn 0 S [spi3]
u:r:kernel:s0                  u:r:kernel:s0                  root           862     2       0      0 irq_thread        0 S [irq/244-dp-pmic-irq]
u:r:kernel:s0                  u:r:kernel:s0                  root           864     2       0      0 rescuer_thread    0 I [sdump_wq]
u:r:prng_seeder:s0             u:r:prng_seeder:s0             prng_seeder    865     1 12517348  3544 do_epoll_wait     0 S prng_seeder
u:r:kernel:s0                  u:r:kernel:s0                  root           866     2       0      0 rescuer_thread    0 I [accel_wq]
u:r:kernel:s0                  u:r:kernel:s0                  root           872     2       0      0 rescuer_thread    0 I [prox_wq]
u:r:kernel:s0                  u:r:kernel:s0                  root           873     2       0      0 rescuer_thread    0 I [flip_cover_dete]
u:r:kernel:s0                  u:r:kernel:s0                  root           894     2       0      0 rescuer_thread    0 I [uaudio_svc]
u:r:kernel:s0                  u:r:kernel:s0                  root           895     2       0      0 irq_thread        0 S [irq/86-arm-smmu-context-fault]
u:r:kernel:s0                  u:r:kernel:s0                  root           899     2       0      0 irq_thread        0 S [irq/251-pn547_clk_req]
u:r:kernel:s0                  u:r:kernel:s0                  root           957     2       0      0 rescuer_thread    0 I [bootc_wq]
u:r:kernel:s0                  u:r:kernel:s0                  root           962     2       0      0 rescuer_thread    0 I [typec_manager_e]
u:r:kernel:s0                  u:r:kernel:s0                  root           964     2       0      0 rescuer_thread    0 I [typec_manager_m]
u:r:kernel:s0                  u:r:kernel:s0                  root           975     2       0      0 irq_thread        0 S [irq/256-pmic_pwrkey]
u:r:kernel:s0                  u:r:kernel:s0                  root           977     2       0      0 irq_thread        0 S [irq/257-pmic_resin]
u:r:kernel:s0                  u:r:kernel:s0                  root           981     2       0      0 irq_thread        0 S [irq/258-hall]
